Name,Page URL,Image URL,Bio,Instagram,Instagram Followers,TikTok,TikTok Followers
MADDY GORDON,https://www.liquorice.co.nz/talent/maddy-gordon-sports-tiktok-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/073c9b7c-14e7-4699-9963-90b43562e962/Maddy+Gordon+Headshot+04_resized.jpg,"Perseverance and resilience weigh heavily in her journey from ‘C grade’ school netball to the black dress. She knew she loved netball and worked seriously hard behind the scenes to represent New Zealand as a midcourter today. A through and through Gen Zer, music, friends, fashion and beauty feature heavily on her rotation against an always-on focus of healthy food and fitness. To book Maddy or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/maddygordon__/,12k,https://www.tiktok.com/@maddygordon__,54k
RACHEL RAKICH,https://www.liquorice.co.nz/rachel-rakich/lifestyle-family-food-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/ed82fbd5-a28c-42ab-b89a-7b417f34f1a4/1.png,"Such is life for the perfectly imperfect day to day of Rachel Rakich and her aesthetically blessed family, who document the realities of getting anything done with toddlers interwoven with an incredible eye for cooking combinations, easy meals and entertaining prowess. A feed that straddles the idyllic highlights reel of travel moments, family time and where to spend vs where to save has meant she is a go-to for the gals looking for a bit of accessible inspiration. To book Rachel or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/rachel.rakich/,17.6k,https://www.tiktok.com/@rachelrakich?lang=en,41k
TAWERA MARSH,https://www.liquorice.co.nz/tawera-marsh/beauty-law-lifestyle-maori-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/8767e2eb-4c39-4a97-8aca-fa9c6a07b320/Tawera+Marsh+headshot.png,"Mixing law with lashes, Tawera is the smart, self-aware and model (in more ways than one) student who cares just as much about policy making as he does about powders, primers and the latest palette. A proud Maaori voice and President of the Māori Law Students' Association at Waikato University, he’s unafraid to share the messy, meaningful bits that mark the formative years, finding that becoming comfortable in his own skin online has unknowingly helped many others with their own journeys. From growing up in Tūrangi to dreaming of Harvard, his content blends culture, politics and personal growth, with a decent dose of diva energy. Whether breaking down barriers or skincare routines, Tawera brings both brains and soul to the scroll. To book Tawera or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",https://www.instagram.com/taweramarshh/,8.1k,https://www.tiktok.com/@taweramaarsh,45.9k
THERESA SETEFANO,https://www.liquorice.co.nz/talent/theresa-fitzpatrick-sports-fitness-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/ef87a2ef-b7cf-4791-a8f7-23b992788b66/LIQ+-+WEB+HEADSHOTS+%285%29.jpg,"Trusting her capability and celebrating culture have been pivotal to sport influencer Theresa’s success as an athlete representing New Zealand in the Black Ferns and Black Ferns 7s. Securing opportunities is in her pedigree - she’s part of an accomplished family who have used mental and physical betterment, daily rituals, constant improvement and strong family principles as inspiration to smash ceilings.  She has developed a quiet confidence, secured with a deep spiritual purpose to focus on being authentic. Theresa fuses her on field performance with qualified insight from her health and medical studies that talk to her take on physical, mental and overall wellbeing, resilience and attitude. To book Theresa or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/theresafitz_12/,13.1k,,
INJOON PARK,https://www.liquorice.co.nz/injoon-park/family-fishing-comedy-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/5ef19c2f-7cd6-45b3-bd6c-b54731072e99/In+Joon+Park,"Keen fisherman and family man, Injoon finds the funny in everyday escapades, hooking and baiting audiences on everything from our inclement weather, male-coded shopping habits to a game-day ‘get ready with me’. Hunting, gathering and observational humour are at the core of his content, and whether he’s reeling in a giant catch or (in all likelihood) only landing sprats, his creative net is always full. Tackling everything from Korean-Kiwi bbqs to bucket hats to boring life admin, his technical skills and stitching abilities pull universal appeal and are guaranteed a smile and share. To book Injoon or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/extreme_fishingnz/,113k,https://www.tiktok.com/@extremefishingnz,86.6k
XIXI AMETHYST,https://www.liquorice.co.nz/xix-amethyst/beauty/fashion/art-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/b4726916-26bc-42fd-8bfe-6c6fedd80104/Xixi+headshot.jpg,"From canvas to couture, Xixi's path was set from an early age. Forget toy cars and dolls; Xixi was all about brushes, ballet, and bhangra. Ever seen someone turn a scarf into 10 different haute couture looks or apply eyeshadow efficiently to an almond eye? Neither had we, until she showed us how. Frustrated with the monoculture, she spins a different style, sprinkling self-love, sass and ultimately confidence to those looking for something a bit different. To book Xixi or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/xixiamethyst/,21k,https://www.tiktok.com/@xixiamethyst?lang=en,281k
ZARYA IOKA,https://www.liquorice.co.nz/zarya-ioka/family-beauty-medicine-health-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/04d6c088-de69-494a-8522-a2237187c647/LIQ+-+WEB+HEADSHOTS+%2829%29.jpg,"Meet Zarya, the unstoppable force who's redefining what it means to wear the hats (or scrubs) of a dedicated med student and mum. Amidst her degree, she's become a mum three times over, slipped in a marriage during a midsemester break and casually amassed a following showing the unfiltered reality of balancing rigorous studies and family life on a student budget. Zarya’s vlogs offer a glimpse into her med school training, fashion ‘fits, the odd bit of fitness plus fuss-free, delicious meals (with a soft spot for KFC feasts), above all showing it is possible to chase your dreams without losing sight of what truly matters — family. To book Zarya or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",http://instagram.com/liquoricenz,,https://www.tiktok.com/@zaryaioka,10.7k
JUSTINE SHERA,https://www.liquorice.co.nz/justine-shera/beauty-lifestyle-fashion-travel-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/fd08b6a4-5aef-4836-be0a-ad48a7d12956/Justine+Shera_website+headshot.png,"All smiles with just a touch of sass, Justine Shera is a body‑positive powerhouse who’s mastered the delicate balance between mindset and midlife, inspiring women through her everyday outfits, sellout travel tours and unfiltered wisdom. From flying hacks to backpacks, she’s become the go-to for the 40-somethings looking for straight-talking insights, motivation without the marketing and a knack for making wellness feel wonderfully doable. MY BALANCE PROJECT FACEBOOK To book Justine or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/mybalanceproject/,26.7k,,
ELKA DROZDOWSKI,https://www.liquorice.co.nz/talent/elka-drozdowski-beauty-fashion-mental-health-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/7306c027-bc9c-4bd4-b8b9-e9e9751b571c/Elka+head+shot+%281%29.png,"Half Japanese, half Kiwi and 100% herself, this Gen Z self-starter has become the school-leavers source of serotonin through her scrapbook style YouTube vlogs and socials. A space where mental health chats sit beside style hauls and matcha breaks, she’s quietly built a loyal following who show up for her grounded take on glow-ups and growing up. Currently studying exercise science and psychology, Elka’s a surprisingly down-to-earth creator with both brains and business drive, balancing Uni life, content creation and her next adventure with her signature good-hair energy. ELKA DROZDOWSKI YOUTUBE To book Elka or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly.",http://instagram.com/liquoricenz,,https://www.tiktok.com/@elka.drozdowski?lang=en,108k
SAMANTHA RICHARDS,https://www.liquorice.co.nz/talent/samantha-richards-teacher-lifestyle-influencer,https://images.squarespace-cdn.com/content/v1/5f74129f5a6fc728c6297b50/133bf3e9-c600-4944-9cbc-d4fd2faca1e2/Samantha+headshot+edited.png,"Known for her chatty sit-downs and practical classroom tips, Samantha Richards is witty, intelligent and refreshingly measured. Think big sister advice you actually listen to. At the heart of her content is care...for her brother, her students and the community she’s built online. Add two cats, a love of all things full-fat sugar and a reality TV habit, and you’ve got a creator who feels real in all the right ways. Perfect? Not quite - Sam doesn’t cook, and she’s fine with that. To book Samantha or to discuss your project, emailwork@liquorice.co.nzor click the link below and we’ll get back to you shortly. ✉work@liquorice.co.nz",https://www.instagram.com/_missrichards/,7k,https://www.tiktok.com/@_samantharichards,54.5k
